Number,TimeStamp,Acc.Voltage,Ñrankshaft rotation speed,Additional generator power,Consumption power,Grid voltage,Fuel,Acc.voltage
0.0000000,0.0000000,12.2000000,350.0000000,0.0000000,100.0000000,12.7000000,47.0000000,12.2000000
1.0000000,10.0000000,12.2000000,75.0016900,0.0000000,557.6964300,12.1999690,46.9848760,12.2000000
2.0000000,20.0000000,12.2000000,75.0000000,0.0000000,565.8078500,12.1999300,46.9732920,12.2000000
3.0000000,30.0000000,12.2000000,75.0000000,0.0000000,530.6200900,12.1998930,46.9617070,12.2000000
4.0000000,40.0000000,12.2000000,75.0000000,0.0000000,484.5033900,12.1998590,46.9501230,12.2000000
5.0000000,50.0000000,12.2000000,75.0000000,0.0000000,469.8572300,12.1998270,46.9385380,12.2000000
6.0000000,60.0000000,12.2000000,75.0000000,0.0000000,561.9916800,12.1997910,46.9269540,12.2000000
7.0000000,70.0000000,12.2000000,75.0000000,0.0000000,609.3721600,12.1997510,46.9153700,12.2000000
8.0000000,80.0000000,12.2000000,75.0000000,0.0000000,630.2786900,12.1997090,46.9037850,12.2000000
9.0000000,90.0000000,12.2000000,75.0000000,0.0000000,605.4927100,12.1996670,46.8922010,12.2000000
10.0000000,100.0000000,12.2000000,160.3640600,0.0000000,557.8023400,12.1996280,46.8774220,12.2000000
11.0000000,110.0000000,12.2000000,200.9608700,0.0000000,504.8915700,12.1995930,46.8489640,12.2000000
12.0000000,120.0000000,12.2000000,215.6578000,0.0000000,523.6762500,12.1995590,46.8166030,12.2000000
13.0000000,130.0000000,12.2000000,360.6004700,0.0000000,570.7247900,12.5257150,46.7734360,12.2000000
14.0000000,140.0000000,12.2000000,260.2273900,0.0000000,602.7798100,12.4980520,46.7242270,12.2000000
15.0000000,150.0000000,12.2000000,279.2586600,0.0000000,590.3700600,12.5071040,46.6823290,12.2000000
16.0000000,160.0000000,12.2000000,215.1688500,0.0000000,602.9478400,12.4961810,46.6433390,12.2000000
17.0000000,170.0000000,12.2000000,299.4994200,0.0000000,566.2304900,12.5275880,46.6041940,12.2000000
18.0000000,180.0000000,12.2000000,272.7165100,0.0000000,572.0157500,12.5240870,46.5603320,12.2000000
19.0000000,190.0000000,12.2000000,311.5809500,0.0000000,614.9873100,12.4888920,46.5158240,12.2000000
20.0000000,200.0000000,12.2000000,338.4763600,0.0000000,655.6373300,12.4543610,46.4652900,12.2000000
21.0000000,210.0000000,12.2000000,348.4710400,0.0000000,588.4909200,12.5089930,46.4121110,12.2000000
22.0000000,220.0000000,12.2000000,174.4541200,0.0000000,548.8698200,12.2006500,46.3698890,12.2000000
23.0000000,230.0000000,12.2000000,75.0332180,0.0000000,505.1033900,12.1994960,46.3534590,12.2000000
24.0000000,240.0000000,12.2000000,75.0000000,0.0000000,497.4272000,12.1994630,46.3418740,12.2000000
25.0000000,250.0000000,12.2000000,75.0000000,0.0000000,532.8986900,12.1994280,46.3302900,12.2000000
26.0000000,260.0000000,12.2000000,75.0000000,0.0000000,547.1403900,12.1993930,46.3187050,12.2000000
27.0000000,270.0000000,12.2000000,75.0000000,0.0000000,561.3826800,12.1993550,46.3071210,12.2000000
28.0000000,280.0000000,12.2000000,256.7082700,0.0000000,530.7676600,12.5558730,46.2836180,12.2000000
29.0000000,290.0000000,12.2000000,355.9468300,0.0000000,483.4412000,12.5959870,46.2350770,12.2000000
30.0000000,300.0000000,12.2000000,392.7708400,0.0000000,462.9150300,12.6142680,46.1767880,12.2000000
31.0000000,310.0000000,12.2000000,254.9871300,0.0000000,500.0118500,12.5845020,46.1250660,12.2000000
32.0000000,320.0000000,12.2000000,165.2168400,0.0000000,547.7112100,12.1993040,46.0937210,12.2000000
